En_loss_b2,Pos_2ps_b2,Neg_2ps_b2,PosErr_2ps_b2,NegErr_2ps_b2,Diff_2ps_b2,DiffErr_2ps_b2,Pos_10ps_b2_amp,Neg_10ps_b2_amp,PosErr_10ps_b2_amp,NegErr_10ps_b2_amp,Diff_10ps_b2_amp,DiffErr_10ps_b2_amp,EnQE_loss_b2,SigQE_2ps_b2,SigQE_m50ps_b2,SigErrQE_2ps_b2,SigErrQE_m50ps_b2,DiffQE_2ps_b2,DiffErrQE_2ps_b2
0.669333,204.549,233.499,14.3021,15.2807,-28.95,20.9296,213.611,238.311,16.6616,17.5986,-24.7001,24.2346,0.617668,332.187,392.201,18.226,19.8041,-60.0136,26.9145
0.650708,208.825,238.264,14.4508,15.4358,-29.4394,21.1445,220.612,227.762,16.9324,17.2046,-7.15039,24.1393,0.599043,321.272,363.633,17.9241,19.0692,-42.3609,26.1707
0.632078,205.567,240.904,14.3376,15.5211,-35.3369,21.1299,192.273,214.953,15.8075,16.7138,-22.6798,23.005,0.580413,299.993,336.085,17.3203,18.3326,-36.0914,25.2206
0.613443,177.504,234.679,13.3231,15.3192,-57.175,20.3023,181.69,193.246,15.3664,15.8475,-11.5552,22.0741,0.561778,276.216,282.583,16.6198,16.8102,-6.36628,23.6389
0.594803,188.486,212.303,13.729,14.5706,-23.8172,20.0197,197.888,226.72,16.0367,17.1652,-28.8325,23.4908,0.543138,241.368,246.905,15.536,15.7132,-5.53646,22.0969
0.576158,188.942,166.903,13.7456,12.9191,22.0395,18.8639,215.172,187.036,16.7223,15.5908,28.1352,22.8628,0.524493,198.858,213.874,14.1017,14.6244,-15.0158,20.3158
0.557507,156.162,150.215,12.4965,12.2562,5.94657,17.5036,158.634,143.854,14.3583,13.6731,14.7802,19.8271,0.505842,168.977,143.086,12.9991,11.9619,25.8905,17.6653
0.538852,123.304,125.747,11.1042,11.2137,-2.44315,15.7813,117.632,108.256,12.3642,11.8613,9.376,17.1337,0.487187,118.528,111.094,10.8871,10.5401,7.43433,15.1533
0.520191,130.777,100.566,11.4358,10.0283,30.2108,15.21,125.811,116.471,12.7869,12.3031,9.33942,17.7446,0.468527,110.366,84.5044,10.5055,9.19263,25.8616,13.9596
0.501526,120.762,88.7052,10.9892,9.41835,32.0568,14.473,92.9452,108.917,10.9905,11.8974,-15.9721,16.1969,0.449861,122.79,64.7738,11.081,8.04822,58.0157,13.6954
0.482855,104.811,87.3087,10.2377,9.34391,17.5022,13.8607,107.484,110.369,11.8189,11.9765,-2.88562,16.8262,0.43119,82.9845,63.8873,9.10958,7.99295,19.0972,12.1191
0.46418,100.783,110.721,10.0391,10.5224,-9.93808,14.5432,96.4062,91.6345,11.1933,10.9128,4.77173,15.6326,0.412515,65.2082,59.3326,8.07516,7.70277,5.87557,11.1598
0.445499,118.334,97.4914,10.8782,9.87377,20.8429,14.691,105.363,102.402,11.7017,11.5361,2.9615,16.432,0.393834,71.9385,79.2158,8.48166,8.90033,-7.27731,12.2945
0.426813,107.47,71.5374,10.3668,8.45798,35.9327,13.3794,104.927,77.8844,11.6775,10.0607,27.0425,15.4137,0.375148,88.344,61.5741,9.39915,7.84692,26.7698,12.2441
0.408122,99.2686,91.0887,9.96336,9.54404,8.17988,13.797,86.1227,83.3916,10.5795,10.4104,2.73113,14.8425,0.356457,89.1815,63.6396,9.4436,7.97745,25.5419,12.3621
0.389426,109.754,99.2442,10.4764,9.96214,10.51,14.4568,75.2919,102.166,9.89188,11.5228,-26.8737,15.1863,0.337761,126.158,88.8333,11.232,9.42514,37.3245,14.6626
0.370725,78.487,96.8549,8.85929,9.84149,-18.3679,13.2417,90.1829,73.2553,10.826,9.75718,16.9276,14.5741,0.31906,130.282,144.262,11.4141,12.0109,-13.9802,16.5693
0.352019,109.675,107.985,10.4726,10.3916,1.68996,14.7533,95.7477,88.8668,11.155,10.7467,6.88086,15.4895,0.300354,134.709,130.189,11.6064,11.41,4.52062,16.2757
0.333307,132.544,125.981,11.5128,11.2241,6.56264,16.0787,134.457,111.396,13.2189,12.032,23.0609,17.8749,0.281643,178.02,162.467,13.3424,12.7463,15.5523,18.4523
0.314591,146.325,136.227,12.0965,11.6716,10.0982,16.8093,124.798,106.165,12.7353,11.7462,18.6322,17.3251,0.262926,197.656,201.237,14.059,14.1858,-3.58093,19.9723
0.29587,158.037,132.864,12.5713,11.5267,25.173,17.0558,137.357,127.919,13.3607,12.8935,9.43824,18.5675,0.244205,227.845,259.268,15.0945,16.1018,-31.4231,22.0706
0.277143,173.514,126.349,13.1725,11.2405,47.1656,17.3166,146.374,137.624,13.7923,13.3737,8.75036,19.2116,0.225478,267.286,275.84,16.3489,16.6084,-8.55365,23.3051
0.258412,170.737,155.054,13.0666,12.4521,15.6831,18.0497,160.253,150.47,14.4314,13.984,9.78274,20.0952,0.206747,278.82,324.927,16.6979,18.0257,-46.1073,24.5713
0.239675,179.785,174.434,13.4084,13.2073,5.35151,18.8207,165.977,190.831,14.6868,15.7481,-24.8539,21.5339,0.18801,270.709,296.943,16.4532,17.232,-26.2342,23.8254
0.220933,175.397,177.575,13.2438,13.3257,-2.17812,18.7876,186.42,205.295,15.5651,16.3341,-18.8749,22.5627,0.169268,286.974,270.979,16.9403,16.4614,15.9959,23.621
0.202186,206.492,220.727,14.3698,14.8569,-14.2345,20.6693,221.805,230.713,16.9782,17.3157,-8.90757,24.2506,0.150521,207.348,208.194,14.3996,14.4289,-0.845804,20.3848
0.183434,247.408,268.499,15.7292,16.3859,-21.0912,22.7136,252.373,245.224,18.1103,17.852,7.14932,25.4298,0.13177,192.308,161.019,13.8675,12.6893,31.2889,18.797
